#Vet D-Dimer #,#Vet D-Dimer #,#Vet D-Dimer #,#vet D-dimer #,#vet D-dimer #,#vet D-dimer #,#vet D-dimer #,#vet D-dimer #,#vet D-dimer #,#vet D-dimer #,#vet D-dimer #,#vet D-dimer #
DDNAA03V,DDNAA03V,DDNAA03V,DDNFA05V,DDNFA05V,DDNFA05V,DDNFA05V,DDNFA05V,DDNFA05V,DDNFA05V,DDNFA05V,DDNFA05V
31.24,1.24,28.09,34.01,40.12,41.23,35.31,11.8,31.42,32.72,37.16,27.16
,,,,,,,,,,,
#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####
54.00128041,45.16129032,56.71057316,38.1358424,34.69591226,44.62769828,46.19088077,43.13559322,48.05856143,46.79095355,45.88266954,45.43446244
54.00128041,45.16129032,56.71057316,38.1358424,34.69591226,44.62769828,46.19088077,43.13559322,48.05856143,46.79095355,45.88266954,45.43446244
54.00128041,45.16129032,56.71057316,38.1358424,34.69591226,44.62769828,46.19088077,43.13559322,48.05856143,46.79095355,45.88266954,45.43446244
54.10691421,44.91935484,56.39017444,38.42105263,34.87038883,44.79020131,46.23902577,43.07627119,48.05856143,46.75122249,45.77502691,45.4455081
54.36299616,44.59677419,56.48629405,38.45045575,34.87038883,44.96725685,46.3608043,42.99152542,48.06810948,46.6992665,45.74811625,45.42341679
54.49103713,44.59677419,56.63937344,38.7150838,35.1445663,45.08125152,46.4372699,42.99152542,48.00445576,46.72066015,45.70236814,45.42341679
54.69590269,44.11290323,56.63937344,38.4886798,34.99501496,44.98423478,46.44576607,42.96610169,47.95353278,46.73899756,45.68622174,45.42341679
54.57746479,43.79032258,56.66429334,38.40929138,35.08723829,44.91147223,46.38912489,43.02542373,47.86760025,46.7603912,45.57857912,45.46023564
54.65108835,43.30645161,56.34389462,38.12702146,34.82801595,44.91874848,46.35230813,42.96610169,47.89942712,46.7695599,45.48708288,45.40868925
54.41741357,43.79032258,56.47205411,38.19464863,34.87038883,44.90177056,46.35230813,43.05084746,47.90897518,46.80012225,45.47900969,45.39764359
54.36299616,44.11290323,56.52189391,38.33284328,34.79561316,44.87751637,46.33248372,43.07627119,47.90897518,46.79095355,45.46017223,45.32400589
54.25736236,44.59677419,56.71057316,38.54748603,34.88783649,44.79020131,46.26734636,43.05084746,47.88987906,46.70843521,45.39827772,45.39764359
54.35339309,44.91935484,57.09149163,38.34166422,34.69591226,44.829008,46.16256018,43.02542373,47.90897518,46.63814181,45.31754575,45.43446244
54.2893726,44.59677419,57.07725169,38.42105263,34.83798604,44.82173175,46.13423959,42.96610169,47.94080204,46.61674817,45.25565124,45.5191458
53.80921895,44.35483871,57.06657173,38.47985887,34.82801595,44.91874848,46.22769754,42.99152542,47.90897518,46.60757946,45.27179763,45.57069219
53.71318822,44.11290323,56.66429334,38.6650985,35.05234297,44.94300267,46.30416313,43.11016949,47.84532145,46.58618582,45.26372443,45.4712813
53.47951344,44.11290323,56.6998932,38.63569538,34.98753739,45.01576522,46.29566695,43.16101695,47.77211967,46.58618582,45.31754575,45.46023564
53.6715749,44.11290323,56.29405482,38.58571009,34.93768694,44.97453311,46.22769754,43.30508475,47.78166773,46.56784841,45.32561895,45.31296024
53.58514725,44.11290323,56.31897472,38.40047045,34.94516451,44.90177056,46.21920136,43.27966102,47.73074475,46.56784841,45.32561895,45.27614138
53.62676056,44.59677419,56.08045568,38.42105263,34.82801595,44.87751637,46.27584254,43.30508475,47.65436028,46.55562347,45.3525296,45.23932253
53.53072983,44.35483871,56.23709505,38.03881211,34.73828514,44.98423478,46.3126593,43.24576271,47.55887969,46.57701711,45.3444564,45.27614138
53.68117798,44.59677419,55.98789605,38.06821523,34.64606181,44.99151104,46.33248372,43.24576271,47.68618714,46.53728606,45.39020452,45.25036819
54.08770807,44.11290323,55.64257743,37.90061747,34.83798604,44.99151104,46.29566695,43.19491525,47.94080204,46.56784841,45.24488698,45.17673049
54.1709347,44.91935484,55.34709861,38.0858571,34.94516451,44.81445549,46.30416313,43.19491525,48.06810948,46.46393643,45.22874058,45.11413844
54.16133163,44.59677419,55.48949804,38.10643928,34.91276171,44.77322338,46.3126593,43.19491525,47.9949077,46.42420538,45.17491927,45.10309278
53.83162612,44.91935484,55.500178,38.03881211,34.74576271,44.74169294,46.27584254,43.30508475,47.8580522,46.32334963,45.20990312,45.05522828
53.86363636,44.35483871,55.57137771,37.85063217,34.84546361,44.76594713,46.19937695,43.30508475,47.82622533,46.28056235,45.18299247,44.94477172
53.89564661,44.35483871,55.57137771,37.93002058,34.95264207,44.81445549,46.09742283,43.27966102,47.76257161,46.28056235,45.1022605,44.90795287
54.23495519,44.59677419,55.64257743,37.86239341,34.98753739,44.78049964,46.09742283,43.16101695,47.76257161,46.25,45.00269107,44.90795287
54.08770807,44.35483871,55.70309719,37.80358718,34.94516451,44.88721805,46.04927782,43.13559322,47.74984087,46.27139364,44.82508073,44.94477172
54.19334187,44.59677419,55.78497686,37.62716848,35.01994018,44.71743876,46.04927782,43.13559322,47.78166773,46.25,44.77933262,44.89322533
53.83162612,44.59677419,55.88109648,37.80358718,34.87038883,44.79747756,46.02095724,43.19491525,47.77211967,46.25,44.74434876,44.79749632
53.88284251,44.91935484,56.04485582,37.76242282,34.77068794,44.63497453,46.02945341,43.22033898,47.74984087,46.32334963,44.75242196,44.69808542
53.4475032,44.35483871,56.13029548,37.93884152,34.64606181,44.73199127,46.01246106,43.22033898,47.78166773,46.28056235,44.67168999,44.67231222
